127.0.0.1 - - [03/Jan/2019:11:34:22 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:33:40 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:33:51 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:33:51 +0530] "GET /Project2Middleware/blogswaitingforapproval HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:33:51 +0530] "GET /Project2Middleware/getimage?email=peter@gmail.com HTTP/1.1" 200 273104
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:33:51 +0530] "GET /Project2Middleware/getimage?email=msrpsuman@gmail.com HTTP/1.1" 200 96533
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:33:55 +0530] "GET /Project2Middleware/hasuserlikedblogpost/66 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:33:55 +0530] "GET /Project2Middleware/getblog/66 HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:33:57 +0530] "PUT /Project2Middleware/approveblog/66 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:34:00 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:34:00 +0530] "GET /Project2Middleware/blogswaitingforapproval HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:34:06 +0530] "GET /Project2Middleware/getblog/59 HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:34:06 +0530] "GET /Project2Middleware/hasuserlikedblogpost/59 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:34:08 +0530] "PUT /Project2Middleware/approveblog/59 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:34:10 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:34:10 +0530] "GET /Project2Middleware/blogswaitingforapproval HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:34:12 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:34:15 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:34:16 +0530] "GET /Project2Middleware/blogsapproved HTTP/1.1" 200 1296
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:34:28 +0530] "GET /Project2Frontend/views/blogdetails.html HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:34:28 +0530] "GET /Project2Middleware/getblog/33 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:34:28 +0530] "GET /Project2Middleware/hasuserlikedblogpost/33 HTTP/1.1" 200 476
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:34:46 +0530] "PUT /Project2Middleware/updatelikes/33 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:34:53 +0530] "PUT /Project2Middleware/updatelikes/33 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:34:55 +0530] "PUT /Project2Middleware/updatelikes/33 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:34:56 +0530] "PUT /Project2Middleware/updatelikes/33 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:35:17 +0530] "POST /Project2Middleware/addblogcomment HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:35:22 +0530] "GET /Project2Frontend/views/updateblogform.html HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:35:22 +0530] "GET /Project2Middleware/getblog/33 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:35:22 +0530] "GET /Project2Middleware/hasuserlikedblogpost/33 HTTP/1.1" 200 476
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:35:27 +0530] "PUT /Project2Middleware/logout HTTP/1.1" 200 -
